timestamp,plate,status
2026-05-05 15:44:12,UP78H95531,VIP
2026-05-05 15:44:41,UP08EC9470,BLACKLIST (Suspicious)
2026-05-05 15:45:14,UP78CZ4000,UNKNOWN
2026-05-05 15:49:43,UP78HE3137,VIP
2026-05-05 15:49:58,UP78FP7627,UNKNOWN
2026-05-05 15:50:14,OD78HY6050,VIP
2026-05-05 15:50:21,UP78H95531,VIP
2026-05-05 15:51:02,UP08EC9470,BLACKLIST (Suspicious)
2026-05-05 15:51:35,UP78CZ4000,UNKNOWN
2026-05-05 15:52:46,OD78UV3337,Staff
2026-05-05 15:53:41,UP06CR1765,UNKNOWN
2026-05-05 15:56:34,UP78HE3137,VIP
2026-05-05 15:56:46,UP78FP7627,UNKNOWN
2026-05-05 15:57:11,OD78HY6050,VIP
2026-05-05 15:57:25,UP78H95531,VIP
2026-05-05 15:58:13,UP08EC9470,BLACKLIST (Suspicious)
2026-05-05 16:13:24,UP78HE3137,VIP
2026-05-05 16:13:37,UP78FP7627,UNKNOWN
2026-05-05 16:14:02,OD78HY6050,VIP
2026-05-05 16:14:17,UP78H95531,VIP
2026-05-05 16:15:01,UP08EC9470,BLACKLIST (Suspicious)
2026-05-05 16:15:36,UP78CZ4000,UNKNOWN
2026-05-05 16:17:34,OD78UV3337,Staff
2026-05-05 16:23:23,UP78HE3137,VIP
2026-05-05 16:23:33,UP78FP7627,UNKNOWN
2026-05-05 16:23:58,OD78HY6050,VIP
2026-05-05 16:24:11,UP78H95531,VIP
2026-05-05 16:24:52,UP08EC9470,BLACKLIST (Suspicious)
2026-05-05 16:25:30,UP78CZ4000,UNKNOWN
